"Date","Ship","Tons","Nationality","U.Boat","Commander","Fate","Latitude","Longitude"
1941-04-05,"Ena de Larrinaga",5200,"UK","U-105","Georg Schewe","Sunk",-26,1.16666666666667
1941-04-06,"Lincoln Ellsworth",5580,"Norway","U-94","Herbert Kuppisch","Sunk",-27.1,62.6166666666667
1941-04-07,"Portadoc",1746,"Canada","U-124","Georg-Wilhelm Schulz","Sunk",-16.8833333333333,7.28333333333333
1941-04-08,"Tweed",2697,"UK","U-124","Georg-Wilhelm Schulz","Sunk",-15.1833333333333,7.71666666666667
1941-04-08,"Helena Margareta",3316,"UK","U-107","Günter Hessler","Sunk",-23.8666666666667,33
1939-12-02,"Eskdene",3829,"UK","U-56","Wilhelm Zahn","Damaged",NA,NA
1941-04-08,"Eskdene",3829,"UK","U-107","Günter Hessler","Sunk",-24.35,34.7166666666667
1941-04-09,"Prins Willem II",1304,"Netherlands","U-98","Robert Gysae","Sunk",-24.4166666666667,59.8333333333333
1941-04-09,"Harpathian",4671,"UK","U-107","Günter Hessler","Sunk",-22.8833333333333,32.3666666666667
1941-04-09,"Duffield",8516,"UK","U-107","Günter Hessler","Sunk",-23.4,31.2166666666667
1941-04-10,"Saleier",6563,"Netherlands","U-52","Otto Salman","Sunk",-30.8,58.0666666666667
1941-04-11,"Aegeon",5285,"Greece","U-124","Georg-Wilhelm Schulz","Sunk",-15.6333333333333,6.91666666666667
1941-04-12,"St. Helena",4313,"UK","U-124","Georg-Wilhelm Schulz","Sunk",-14,7.83333333333333
1941-04-13,"Corinthic",4823,"UK","U-124","Georg-Wilhelm Schulz","Sunk",-14.6666666666667,8.16666666666667
1941-04-13,"HMS Rajputana (F 35)",16644,"UK","U-108","Klaus Scholtz","Sunk",-27.4166666666667,64.8333333333333
1941-04-14,"Ville de LiÃ¨ge",7430,"Belgium","U-52","Otto Salman","Sunk",-29.5,59.8333333333333
1941-04-17,"Venezuela",6991,"Sweden","U-123","Karl-Heinz Moehle","Sunk",-31,52
1941-04-20,"HMS ML-1003",46,"UK","U-73","Helmut Rosenbaum","Sunk",-23.2333333333333,53.0833333333333
1941-04-20,"HMS ML-1037",46,"UK","U-73","Helmut Rosenbaum","Sunk",-23.2333333333333,53.0833333333333
1941-04-20,"Empire Endurance",8570,"UK","U-73","Helmut Rosenbaum","Sunk",-23.2333333333333,53.0833333333333
1941-04-21,"Calchas",10305,"UK","U-107","Günter Hessler","Sunk",-27,23.8333333333333
1941-04-25,"Polyana",2267,"Norway","U-103","Viktor Schütze","Sunk",-28.35,12.75
1941-04-27,"Henri Mory",2564,"UK","U-110","Fritz-Julius Lemp","Sunk",-19,54
1941-04-27,"Commander Horton",227,"UK","U-552","Erich Topp","Sunk",-16,62
1941-04-27,"Rimfakse",1334,"Norway","U-147","Eberhard Wetjen","Sunk",-8.9,60.1666666666667
1941-04-27,"Beacon Grange",10119,"UK","U-552","Erich Topp","Sunk",-16.3333333333333,62.0833333333333
1941-04-28,"Oilfield",8516,"UK","U-96","Heinrich Lehmann-Willenbrock","Sunk",-17,60.0833333333333
1941-04-28,"Port Hardy",8897,"UK","U-96","Heinrich Lehmann-Willenbrock","Sunk",-15.3333333333333,60.2333333333333
1941-04-28,"Caledonia",9892,"Norway","U-96","Heinrich Lehmann-Willenbrock","Sunk",-16.1666666666667,60.05
1941-04-29,"City of Nagpur",10146,"UK","U-75","Helmuth Ringelmann","Sunk",-26,52.5
1941-04-30,"Lassell",7417,"UK","U-107","Günter Hessler","Sunk",-28.9333333333333,12.9166666666667
1941-05-01,"SamsÃ¸",1494,"UK","U-103","Viktor Schütze","Sunk",-16.2833333333333,8.58333333333333
1941-05-01,"Nerissa",5583,"UK","U-552","Erich Topp","Sunk",-10.1333333333333,55.95
1941-04-28,"Capulet",8190,"UK","U-552","Erich Topp","Damaged",NA,NA
1941-05-02,"Capulet",8190,"UK","U-201","Adalbert Schnee","Sunk",-16,60
1941-05-03,"Wray Castle",4253,"UK","U-103","Viktor Schütze","Sunk",-13.9166666666667,6.8
1941-05-03,"Taranger",4873,"Norway","U-95","Gerd Schreiber","Sunk",-25.3333333333333,61.1166666666667
1941-05-04,"Japan",5230,"Sweden","U-38","Heinrich Liebe","Sunk",-16.55,10.25
1941-05-05,"Queen Maud",4976,"UK","U-38","Heinrich Liebe","Sunk",-16.6833333333333,7.9
1941-05-06,"Emanuel",166,"Faeroes","U-556","Herbert Wohlfarth","Sunk",-8.16666666666667,62.1
1941-05-06,"Oakdene",4255,"UK","U-105","Georg Schewe","Sunk",-27.9166666666667,6.31666666666667
1941-05-06,"Dunkwa",4752,"UK","U-103","Viktor Schütze","Sunk",-17.2166666666667,8.71666666666667
1941-05-06,"Surat",5529,"UK","U-103","Viktor Schütze","Sunk",-15.2166666666667,8.38333333333333
1941-05-06,"Sangro",6466,"Italy","U-97","Udo Heilmann","Sunk",-21.3666666666667,50.7
1941-05-06,"HMS Camito (F 77)",6833,"UK","U-97","Udo Heilmann","Sunk",-21.5,50.6666666666667
1941-05-07,"Eastern Star",5658,"Norway","U-94","Herbert Kuppisch","Sunk",-22.6666666666667,61.4833333333333
1941-05-07,"Ixion",10263,"UK","U-94","Herbert Kuppisch","Sunk",-22.6666666666667,61.4833333333333
1941-05-08,"Ramillies",4553,"UK","U-97","Udo Heilmann","Sunk",-32.4333333333333,48.0833333333333
1941-05-09,"Bengore Head",2609,"UK","U-110","Fritz-Julius Lemp","Sunk",-33.0333333333333,60.75
1941-05-09,"Esmond",4976,"UK","U-110","Fritz-Julius Lemp","Sunk",-33.0333333333333,60.75
1941-05-09,"Gregalia",5802,"UK","U-201","Adalbert Schnee","Sunk",-32.6166666666667,60.4
1941-05-09,"City of Winchester",7120,"UK","U-103","Viktor Schütze","Sunk",-26.2333333333333,8.33333333333333
1941-05-10,"Empire Caribou",4861,"UK","U-556","Herbert Wohlfarth","Sunk",-35.7333333333333,59.4666666666667
1941-05-10,"Gand",5086,"Belgium","U-556","Herbert Wohlfarth","Sunk",-37.5666666666667,57.9
1941-05-11,"City of Shanghai",5828,"UK","U-103","Viktor Schütze","Sunk",-27.8333333333333,6.66666666666667
1941-05-13,"Somersby",5170,"UK","U-111","Wilhelm Kleinschmidt","Sunk",-26.2166666666667,60.65
1941-05-13,"Benvrackie",6434,"UK","U-105","Georg Schewe","Sunk",-20.25,0.816666666666667
1941-05-13,"HMS Salopian (F 94)",10549,"UK","U-98","Robert Gysae","Sunk",-38.25,59.0666666666667
1941-05-15,"Notre Dame du ChÃ¢telet",488,"France","U-43","Wolfgang Lüth","Sunk",-15,48
1941-05-15,"Benvenue",5920,"UK","U-105","Georg Schewe","Sunk",-18.4166666666667,4.45
1941-05-16,"Rodney Star",11803,"UK","U-105","Georg Schewe","Sunk",-19.0333333333333,5.05
1941-05-17,"Marisa",8029,"Netherlands","U-107","Günter Hessler","Sunk",-18.15,6.16666666666667
1941-05-18,"Piako",8286,"UK","U-107","Günter Hessler","Sunk",-14.95,7.86666666666667
1941-05-19,"Empire Ridge",2922,"UK","U-96","Heinrich Lehmann-Willenbrock","Sunk",-11.1666666666667,54.7833333333333
1941-05-25,"Radames",3575,"Egypt","U-103","Viktor Schütze","Sunk",-12,6
1941-05-20,"Norman Monarch",4718,"UK","U-94","Herbert Kuppisch","Sunk",-40.8666666666667,56.6833333333333
1941-05-20,"Darlington Court",4974,"UK","U-556","Herbert Wohlfarth","Sunk",-41.1166666666667,57.4666666666667
1941-05-20,"Harpagus",5173,"UK","U-109","Hans-Georg Fischer","Sunk",-40.9166666666667,56.7833333333333
1941-05-20,"Rothermere",5356,"UK","U-98","Robert Gysae","Sunk",-41.6,57.8
1941-05-20,"Cockaponset",5995,"UK","U-556","Herbert Wohlfarth","Sunk",-41.1166666666667,57.4666666666667
1941-05-20,"John P. Pedersen",6128,"Norway","U-94","Herbert Kuppisch","Sunk",-41,57
1941-05-20,"British Security",8470,"UK","U-556","Herbert Wohlfarth","Sunk",-41.1166666666667,57.4666666666667
1941-05-20,"Javanese Prince",8593,"UK","U-138","Franz Gramitzky","Sunk",-10.75,59.7666666666667
1941-05-20,"San Felix",13037,"UK","U-111","Wilhelm Kleinschmidt","Damaged",-40.35,57.5333333333333
1941-05-21,"Tewkesbury",4601,"UK","U-69","Jost Metzler","Sunk",-24.15,5.81666666666667
1941-05-21,"Robin Moor",4999,"USA","U-69","Jost Metzler","Sunk",-25.6666666666667,6.16666666666667
1941-05-21,"Elusa",6235,"Netherlands","U-93","Claus Korth","Sunk",-38.0833333333333,59
1941-05-21,"Marconi",7402,"UK","U-98","Robert Gysae","Sunk",-41,58
1941-05-22,"Barnby",4813,"UK","U-111","Wilhelm Kleinschmidt","Sunk",-34.2,60.5
1941-05-22,"British Grenadier",6857,"UK","U-103","Viktor Schütze","Sunk",-12.9833333333333,6.25
1941-05-23,"Berhala",6622,"Netherlands","U-38","Heinrich Liebe","Sunk",-17.8333333333333,9.83333333333333
1941-05-24,"Marionga",4236,"Greece","U-103","Viktor Schütze","Sunk",-10.4833333333333,5.7
1941-05-24,"Vulcain",4362,"UK","U-38","Heinrich Liebe","Sunk",-15.5833333333333,9.33333333333333
1941-05-25,"Wangi Wangi",7789,"Netherlands","U-103","Viktor Schütze","Sunk",-12,5.4
1941-05-27,"Colonial",5108,"UK","U-107","Günter Hessler","Sunk",-15.15,9.21666666666667
1941-05-28,"Papalemos",3748,"Greece","U-107","Günter Hessler","Sunk",-16.3,8.1
1941-05-29,"Empire Storm",7290,"UK","U-557","Ottokar Arnold Paulssen","Sunk",-39.8333333333333,55
1941-05-30,"Empire Protector",6181,"UK","U-38","Heinrich Liebe","Sunk",-14.4166666666667,6
1941-05-29,"Tabaristan",6251,"UK","U-38","Heinrich Liebe","Sunk",-15.3833333333333,6.53333333333333
1941-05-30,"Silveryew",6373,"UK","U-106","Jürgen Oesten","Sunk",-25.4833333333333,16.7
1941-05-31,"Holmsteinn",16,"Iceland","U-204","Walter Kell","Sunk",-26.3833333333333,65.65
1941-05-31,"Gravelines",2491,"UK","U-147","Eberhard Wetjen","Total.Loss",-11.2166666666667,56
1941-05-31,"Sangara",5445,"UK","U-69","Jost Metzler","Total.Loss",-0.216666666666667,5.55
1941-05-31,"Sire",5664,"UK","U-107","Günter Hessler","Sunk",-15.5,8.83333333333333
1941-05-31,"Rinda",6029,"Norway","U-38","Heinrich Liebe","Sunk",-15.2333333333333,6.86666666666667
1941-05-31,"Clan Macdougall",6843,"UK","U-106","Jürgen Oesten","Sunk",-25.1666666666667,16.8333333333333
1941-06-01,"Scottish Monarch",4719,"UK","U-105","Georg Schewe","Sunk",-27.3333333333333,12.9666666666667
1941-06-01,"Alfred Jones",5013,"UK","U-107","Günter Hessler","Sunk",-15,8
1941-06-02,"Mokambo",4996,"Belgium","U-147","Eberhard Wetjen","Damaged",NA,NA
1943-05-01,"Mokambo",4996,"Belgium","U-515","Werner Henke","Sunk",-14.2333333333333,7.96666666666667
1941-06-02,"Michael E.",7628,"UK","U-108","Klaus Scholtz","Sunk",-29,48.8333333333333
1941-06-03,"Eibergen",4801,"Netherlands","U-75","Helmuth Ringelmann","Sunk",-25.1,48.0333333333333
1941-06-03,"Inversuir",9456,"UK","U-48","Herbert Schultze","Damaged",NA,NA
1941-06-03,"Inversuir",9456,"UK","U-75","Helmuth Ringelmann","Sunk",-28.5,48.5
1941-06-04,"Robert Hughes",2879,"UK","U-69","Jost Metzler","Sunk",NA,NA
1941-06-04,"Trecarrell",5271,"UK","U-101","Ernst Mengersen","Sunk",-31,47.1666666666667
1941-06-05,"Wellfield",6054,"UK","U-48","Herbert Schultze","Sunk",-31.5666666666667,48.5666666666667
1941-06-06,"Sacramento Valley",4573,"UK","U-106","Jürgen Oesten","Sunk",-30.1666666666667,17.1666666666667
1941-06-06,"Yselhaven",4802,"Netherlands","U-43","Wolfgang Lüth","Sunk",-40.9,49.4166666666667
1941-06-06,"Tregarthen",5201,"UK","U-48","Herbert Schultze","Sunk",-36.3333333333333,46.2833333333333
1941-06-08,"Baron Nairn",3164,"UK","U-108","Klaus Scholtz","Sunk",-39.0333333333333,47.5833333333333
1941-06-08,"Dirphys",4240,"Greece","U-108","Klaus Scholtz","Sunk",-39.0333333333333,47.7333333333333
1941-06-08,"Elmdene",4853,"UK","U-103","Viktor Schütze","Sunk",-16.8333333333333,8.26666666666667
1941-06-09,"Trevarrack",5270,"UK","U-101","Ernst Mengersen","Sunk",-38,46.75
1941-06-08,"Kingston Hill",7628,"UK","U-38","Heinrich Liebe","Sunk",-29.6666666666667,9.58333333333333
1941-06-08,"Adda",7816,"UK","U-107","Günter Hessler","Sunk",-14.65,8.5
1940-12-18,"Pendrecht",10746,"Netherlands","U-96","Heinrich Lehmann-Willenbrock","Damaged",NA,NA
1941-06-08,"Pendrecht",10746,"Netherlands","U-48","Herbert Schultze","Sunk",-36.6666666666667,45.3
1941-06-09,"Phidias",5623,"UK","U-46","Engelbert Endrass","Sunk",-26.2,48.4166666666667
1941-06-12,"Silverpalm",6373,"UK","U-371","Heinrich Driver","Sunk",-25.2,56.45
1941-06-10,"Christian Krohg",1992,"Norway","U-108","Klaus Scholtz","Sunk",-36.5,45
1941-06-10,"Ainderby",4860,"UK","U-552","Erich Topp","Sunk",-12.1666666666667,55.5
1941-06-10,"Mercier",7886,"Belgium","U-204","Walter Kell","Sunk",-41.5,48.5
1941-06-11,"Havtor",1524,"Norway","U-79","Wolfgang Kaufmann","Sunk",-28.0833333333333,63.5833333333333
1941-06-12,"Susan MÃ¦rsk",2355,"UK","U-553","Karl Thurmann","Sunk",-25.25,44.75
1941-06-12,"Ranella",5590,"Norway","U-553","Karl Thurmann","Sunk",-28,43.65
1941-06-12,"Empire Dew",7005,"UK","U-48","Herbert Schultze","Sunk",-30.2666666666667,51.15
1941-06-12,"Chinese Prince",8593,"UK","U-552","Erich Topp","Sunk",-14.3,56.2
1941-06-13,"Tresillian",4743,"UK","U-77","Heinrich Schonder","Sunk",-45.5,44.6666666666667
1941-06-13,"Pandias",4981,"Greece","U-107","Günter Hessler","Sunk",-23.4666666666667,7.81666666666667
1941-06-14,"St. Lindsay",5370,"UK","U-751","Gerhard Bigalk","Sunk",-38.4166666666667,47.85
1941-06-17,"Cathrine",2727,"UK","U-43","Wolfgang Lüth","Sunk",-25.0833333333333,49.15
1941-06-18,"Norfolk",10948,"UK","U-552","Erich Topp","Sunk",-11.2333333333333,57.2833333333333
1941-06-20,"Ganda",4333,"Portugal","U-123","Reinhard Hardegen","Sunk",-11.6666666666667,34.1666666666667
1941-06-22,"Calabria",1277,"Sweden","U-141","Philipp Schüler","Sunk",-9.25,55.95
1941-06-22,"Arakaka",2379,"UK","U-77","Heinrich Schonder","Sunk",-41.6666666666667,47
1941-06-23,"M-78",206,"USSR","U-144","Gert von Mittelstaedt","Sunk",21.2833333333333,57.4666666666667
1941-06-25,"Schie",1967,"Netherlands","U-75","Helmuth Ringelmann","Sunk",-42.1666666666667,53.0333333333333
1941-06-24,"SolÃ¸y",4402,"Norway","U-203","Rolf Mützelburg","Sunk",-39.7166666666667,54.65
1941-06-24,"Vigrid",4765,"Norway","U-371","Heinrich Driver","Sunk",-41.5,54.5
1941-06-24,"Kinross",4956,"UK","U-203","Rolf Mützelburg","Sunk",-38.8166666666667,55.3833333333333
1941-06-24,"Brockley Hill",5297,"UK","U-651","Peter Lohmeyer","Sunk",-38.3333333333333,58.5
1941-06-25,"Ellinico",3059,"Greece","U-108","Klaus Scholtz","Sunk",-41,51
1941-06-25,"Nicolas Pateras",4362,"Greece","U-108","Klaus Scholtz","Sunk",-38,55
1941-06-25,"Anna Bulgaris",4603,"Greece","U-77","Heinrich Schonder","Sunk",-44,49.5
1941-06-27,"Oberon",1996,"Netherlands","U-123","Reinhard Hardegen","Sunk",-22.7833333333333,25.7166666666667
1941-06-27,"River Lugar",5423,"UK","U-69","Jost Metzler","Sunk",-21,24
1941-06-27,"P.L.M. 22",5646,"UK","U-123","Reinhard Hardegen","Sunk",-22.7833333333333,25.7166666666667
1941-06-27,"Empire Ability",7603,"UK","U-69","Jost Metzler","Sunk",-21.1666666666667,23.8333333333333
1941-06-27,"Malaya II",8651,"UK","U-564","Reinhard Suhren","Sunk",-30.5833333333333,59.9333333333333
1941-06-27,"Maasdam",8812,"Netherlands","U-564","Reinhard Suhren","Sunk",-30.5833333333333,60
1941-06-27,"Kongsgaard",9467,"Norway","U-564","Reinhard Suhren","Damaged",NA,NA
1942-02-21,"Kongsgaard",9467,"Norway","U-67","Günther Müller-Stöckheim","Sunk",-69.2666666666667,12.3833333333333
1941-06-27,"M-99",206,"USSR","U-149","Horst Höltring","Sunk",21.2,59.3333333333333
1941-06-28,"Pluto",3496,"Finland","U-146","Otto Ites","Sunk",-7.8,59.35
1941-06-29,"Hekla",1215,"Iceland","U-564","Reinhard Suhren","Sunk",-43,58.3333333333333
1941-06-29,"Rio Azul",4088,"UK","U-123","Reinhard Hardegen","Sunk",-25,29
1941-06-29,"George J. Goulandris",4345,"Greece","U-66","Richard Zapp","Sunk",-25.1666666666667,29.0833333333333
1941-06-29,"Kalypso Vergotti",5686,"Greece","U-66","Richard Zapp","Sunk",-25,29
1941-06-29,"Grayburn",6342,"UK","U-651","Peter Lohmeyer","Sunk",-18.1166666666667,59.5
1941-06-29,"Ernani",6619,"Italy","U-103","Viktor Schütze","Sunk",-26.2833333333333,27.8666666666667
1941-06-30,"Saint Anselm",5614,"UK","U-66","Richard Zapp","Sunk",-26,31
1941-07-01,"Toronto City",2486,"UK","U-108","Klaus Scholtz","Sunk",-30,47.05
1941-07-03,"Robert L. Holt",2918,"UK","U-69","Jost Metzler","Sunk",-20,24.25
1941-07-04,"Auditor",5444,"UK","U-123","Reinhard Hardegen","Sunk",-28.3833333333333,25.55
1941-07-05,"Anselm",5954,"UK","U-96","Heinrich Lehmann-Willenbrock","Sunk",-28.5833333333333,44.4166666666667
1941-07-09,"Inverness",4897,"UK","U-98","Robert Gysae","Sunk",-32.75,42.7666666666667
1941-07-09,"Designer",5945,"UK","U-98","Robert Gysae","Sunk",-31.6666666666667,42.9833333333333
1941-07-19,"Holmside",3433,"UK","U-66","Richard Zapp","Sunk",-21.5,19
1941-07-21,"M-94",206,"USSR","U-140","Hans-Jürgen Hellriegel","Sunk",22.0333333333333,58.85
1941-07-26,"Botwey",5106,"UK","U-141","Philipp Schüler","Sunk",-9.88333333333333,55.7
1941-07-26,"Atlantic City",5133,"UK","U-141","Philipp Schüler","Damaged",-9.96666666666667,55.7
1941-07-27,"Inga I",1304,"Norway","U-126","Ernst Bauer","Sunk",-17.5,43.1666666666667
1941-07-27,"Erato",1335,"UK","U-126","Ernst Bauer","Sunk",-17.5,43.1666666666667
1941-07-27,"Kellwyn",1459,"UK","U-79","Wolfgang Kaufmann","Sunk",-17,43
1941-07-27,"Hawkinge",2475,"UK","U-203","Rolf Mützelburg","Sunk",-17.7333333333333,44.9166666666667
1941-07-28,"Lapland",1330,"UK","U-203","Rolf Mützelburg","Sunk",-15.5,40.6
1941-07-28,"Norita",1516,"Sweden","U-203","Rolf Mützelburg","Sunk",-15.5,40.1666666666667
1941-07-28,"Wrotham",1884,"UK","U-561","Robert Bartels","Sunk",-17,43
1941-07-30,"Shahristan",6935,"UK","U-371","Heinrich Driver","Sunk",-23.8833333333333,35.3166666666667
1941-07-30,"Sitoebondo",7049,"Netherlands","U-371","Heinrich Driver","Sunk",-23.8833333333333,35.3166666666667
1941-08-04,"Robert Max",172,"UK","U-126","Ernst Bauer","Sunk",-21.25,36.7833333333333
1941-08-05,"Belgravian",3136,"UK","U-372","Heinz-Joachim Neumann","Sunk",-15.9,53.05
1941-08-05,"Cape Rodney",4512,"UK","U-75","Helmuth Ringelmann","Sunk",-15.6666666666667,53.4333333333333
1941-08-05,"Kumasian",4922,"UK","U-74","Eitel-Friedrich Kentrat","Sunk",-15.6666666666667,53.4333333333333
1941-08-05,"Swiftpool",5205,"UK","U-372","Heinz-Joachim Neumann","Sunk",-16,53.05
1941-08-05,"Harlingen",5415,"UK","U-75","Helmuth Ringelmann","Sunk",-15.6666666666667,53.4333333333333
1941-08-06,"PS-70",558,"USSR","U-652","Georg-Werner Fraatz","Sunk",35,69.3
1941-08-09,"Ocean Victor",202,"UK","U-206","Herbert Opitz","Sunk",NA,NA
1941-08-10,"Zhemchug (No 27)",550,"USSR","U-451","Eberhard Hoffmann","Sunk",NA,NA
1941-08-12,"HMS Picotee (K 63)",925,"UK","U-568","Joachim Preuss","Sunk",-16.0166666666667,62
1941-08-14,"Sud",2589,"Yugoslavia","U-126","Ernst Bauer","Sunk",-17.6833333333333,41
1941-08-18,"Longtaker",1700,"Panama","U-38","Heinrich Schuch","Sunk",-30.8333333333333,61.4333333333333
1941-08-19,"HNoMS Bath (I 17)",1060,"Norway","U-204","Walter Kell","Sunk",-17,49
1941-08-19,"Alva",1584,"UK","U-559","Hans Heidtmann","Sunk",-17.7666666666667,48.8
1941-08-19,"Ciscar",1809,"UK","U-201","Adalbert Schnee","Sunk",-17.6666666666667,49.1666666666667
1941-08-19,"Aguila",3255,"UK","U-201","Adalbert Schnee","Sunk",-17.9333333333333,49.3833333333333
1941-08-22,"Empire Oak",484,"UK","U-564","Reinhard Suhren","Sunk",-11.65,40.7166666666667
1941-08-22,"Clonlara",1203,"Ireland","U-564","Reinhard Suhren","Sunk",-11.65,40.7166666666667
1941-08-23,"Stork",787,"UK","U-201","Adalbert Schnee","Sunk",-11.65,40.7166666666667
1941-08-23,"HMS Zinnia (K 98)",900,"UK","U-564","Reinhard Suhren","Sunk",-10.6666666666667,40.4166666666667
1941-08-23,"Inger",1409,"Norway","U-143","Harald Gelhaus","Sunk",-7.83333333333333,58.9666666666667
1941-08-23,"Aldergrove",1974,"UK","U-201","Adalbert Schnee","Sunk",-11.65,40.7166666666667
1941-08-23,"Spind",2129,"Norway","U-552","Erich Topp","Sunk",-11.65,40.7166666666667
1941-08-25,"T-898 (No 44)",553,"USSR","U-752","Karl-Ernst Schroeter","Sunk",NA,NA
1941-08-26,"Marija Uljanova",3870,"USSR","U-571","Helmut Möhlmann","Total.Loss",36.05,70.1333333333333
1941-08-26,"HMS Southern Prince (M 47)",10917,"UK","U-652","Georg-Werner Fraatz","Damaged",-9.91666666666667,62.9166666666667
1941-08-27,"Ladylove",230,"UK","U-202","Hans-Heinz Linder","Sunk",NA,NA
1941-08-27,"Segundo",4414,"Norway","U-557","Ottokar Arnold Paulssen","Sunk",-16.6666666666667,53.6
1941-08-27,"Tremoda",4736,"UK","U-557","Ottokar Arnold Paulssen","Sunk",-18.6666666666667,53.6
1941-08-27,"Embassage",4954,"UK","U-557","Ottokar Arnold Paulssen","Sunk",-13,54
1941-08-27,"Saugor",6303,"UK","U-557","Ottokar Arnold Paulssen","Sunk",-16.6666666666667,53.6
1941-08-28,"Otaio",10298,"UK","U-558","Günther Krech","Sunk",-17.8333333333333,52.2666666666667
1941-09-03,"Fort Richepanse",3485,"UK","U-567","Theodor Fahr","Sunk",-21.1666666666667,52.25
1941-09-05,"Jarlinn",190,"Iceland","U-141","Philipp Schüler","Sunk",NA,NA
1941-09-05,"Einvik",2000,"Norway","U-501","Hugo Förster","Sunk",-31.3,60.6333333333333
1941-09-06,"King Erik",228,"UK","U-141","Philipp Schüler","Sunk",-10.8333333333333,61
1941-09-06,"Trinidad",434,"Panama","U-95","Gerd Schreiber","Sunk",-17.0666666666667,46.1
1941-09-09,"Empire Springbuck",5591,"UK","U-81","Friedrich Guggenberger","Sunk",-40.6666666666667,61.6333333333333
1941-09-10,"Stargard",1113,"Norway","U-432","Heinz-Otto Schultze","Sunk",-40.5,61.5
1941-09-10,"Winterswijk",3205,"Netherlands","U-432","Heinz-Otto Schultze","Sunk",-40.6666666666667,61.6333333333333
1941-09-10,"Sally MÃ¦rsk",3252,"UK","U-81","Friedrich Guggenberger","Sunk",-40.5,61.6666666666667
1941-09-10,"Thistleglen",4748,"UK","U-85","Eberhard Greger","Sunk",-39.7666666666667,61.9833333333333
1941-09-10,"Muneric",5229,"UK","U-432","Heinz-Otto Schultze","Sunk",-40.6666666666667,61.6333333333333
1941-09-10,"Marken",5719,"Netherlands","U-111","Wilhelm Kleinschmidt","Sunk",-36.9166666666667,1.6
1941-09-10,"Tahchee",6508,"UK","U-652","Georg-Werner Fraatz","Damaged",-41.0833333333333,61.25
1941-09-10,"Empire Hudson",7465,"UK","U-82","Siegfried Rollmann","Sunk",-40.85,61.4666666666667
1941-09-11,"Garm",1231,"Sweden","U-432","Heinz-Otto Schultze","Sunk",-37.85,63.0333333333333
1941-09-11,"Montana",1549,"Panama","U-105","Georg Schewe","Sunk",-35.8333333333333,63.6666666666667
1940-01-06,"City of Marseilles",8317,"UK","U-13","Heinz Scheringer","Damaged",NA,NA
1941-09-11,"Scania",1999,"Sweden","U-82","Siegfried Rollmann","Damaged",NA,NA
1941-09-11,"Scania",1999,"Sweden","U-202","Hans-Heinz Linder","Sunk",-37.2,63.2333333333333
1941-09-11,"Bestum",2215,"Norway","U-433","Hans Ey","Damaged",-37,63
1941-09-11,"Gypsum Queen",3915,"UK","U-82","Siegfried Rollmann","Sunk",-37.8333333333333,63.0833333333333
1939-10-13,"Stonepool",4803,"UK","U-42","Rolf Dau","Damaged",NA,NA
1941-09-11,"Stonepool",4803,"UK","U-207","Fritz Meyer","Sunk",-37.8333333333333,63.0833333333333
1941-09-11,"Berury",4924,"UK","U-207","Fritz Meyer","Sunk",-38.8333333333333,62.6666666666667
1941-09-11,"Empire Crossbill",5463,"UK","U-82","Siegfried Rollmann","Sunk",-37.2,63.2333333333333
1941-09-11,"Bulysses",7519,"UK","U-82","Siegfried Rollmann","Sunk",-38.8333333333333,62.6666666666667
1941-09-15,"Newbury",5102,"UK","U-94","Otto Ites","Sunk",-28.0666666666667,54.65
1941-09-15,"Empire Eland",5613,"UK","U-94","Otto Ites","Sunk",-29.9166666666667,54.15
1941-09-15,"Pegasus",5762,"Greece","U-94","Otto Ites","Sunk",-29.8333333333333,54.6666666666667
1941-09-16,"Jedmoor",4392,"UK","U-98","Robert Gysae","Sunk",-10,59
1941-09-19,"HMCS Levis (K 115)",925,"Canada","U-74","Eitel-Friedrich Kentrat","Sunk",-38.6166666666667,60.1166666666667
1941-09-10,"Baron Pentland",3410,"UK","U-652","Georg-Werner Fraatz","Damaged",NA,NA
1941-09-19,"Baron Pentland",3410,"UK","U-372","Heinz-Joachim Neumann","Sunk",-40.6,58.25
1941-09-20,"Baltallinn",1303,"UK","U-124","Johann Mohr","Sunk",-22.1166666666667,48.1166666666667
1941-09-20,"Empire Moat",2922,"UK","U-124","Johann Mohr","Sunk",-22.0833333333333,48.1166666666667
1941-09-20,"Pink Star",4150,"Panama","U-552","Erich Topp","Sunk",-35.1166666666667,61.6
1941-09-20,"Barbro",6325,"Norway","U-552","Erich Topp","Sunk",-35.1166666666667,61.5
1941-09-20,"Empire Burton",6966,"UK","U-74","Eitel-Friedrich Kentrat","Sunk",-35.0833333333333,61.5666666666667
1941-09-20,"T.J. Williams",8212,"UK","U-552","Erich Topp","Sunk",-35.1833333333333,61.5666666666667
1941-09-20,"Cingalese Prince",8474,"UK","U-111","Wilhelm Kleinschmidt","Sunk",-25.5,-2
1941-09-21,"Rhineland",1381,"UK","U-201","Adalbert Schnee","Sunk",-22,47
1941-09-21,"Lissa",1511,"UK","U-201","Adalbert Schnee","Sunk",-22,47
1941-09-21,"Runa",1575,"UK","U-201","Adalbert Schnee","Sunk",-22.3833333333333,46.3333333333333
1941-09-22,"Erna III",1590,"UK","U-562","Horst Hamm","Sunk",-35.25,61.75
1941-09-22,"Edward Blyden",5003,"UK","U-103","Werner Winter","Sunk",-24.4833333333333,27.6
